"Year","Cost_Type","Cost","Type","lower_PI","upper_PI"
2003,"AE_Cost",383760,"Historical",NA,NA
2003,"IP_Total",14047948.0389846,"Historical",NA,NA
2003,"OP_Total",3399635,"Historical",NA,NA
2004,"AE_Cost",373920,"Historical",NA,NA
2004,"IP_Total",17316507.408397,"Historical",NA,NA
2004,"OP_Total",4496415,"Historical",NA,NA
2005,"AE_Cost",361620,"Historical",NA,NA
2005,"IP_Total",16276517.1064496,"Historical",NA,NA
2005,"OP_Total",4580800,"Historical",NA,NA
2006,"AE_Cost",460020,"Historical",NA,NA
2006,"IP_Total",26379298.0034128,"Historical",NA,NA
2006,"OP_Total",4507890,"Historical",NA,NA
2007,"AE_Cost",466170,"Historical",NA,NA
2007,"IP_Total",22170517.4908461,"Historical",NA,NA
2007,"OP_Total",4883385,"Historical",NA,NA
2008,"AE_Cost",635910,"Historical",NA,NA
2008,"IP_Total",26043260.9965244,"Historical",NA,NA
2008,"OP_Total",5205790,"Historical",NA,NA
2009,"AE_Cost",600240,"Historical",NA,NA
2009,"IP_Total",23201009.1118082,"Historical",NA,NA
2009,"OP_Total",5733465,"Historical",NA,NA
2010,"AE_Cost",612540,"Historical",NA,NA
2010,"IP_Total",30776291.5374584,"Historical",NA,NA
2010,"OP_Total",6691400,"Historical",NA,NA
2011,"AE_Cost",662970,"Historical",NA,NA
2011,"IP_Total",25345826.1307966,"Historical",NA,NA
2011,"OP_Total",6986130,"Historical",NA,NA
2012,"AE_Cost",729390,"Historical",NA,NA
2012,"IP_Total",35742637.6771996,"Historical",NA,NA
2012,"OP_Total",7728875,"Historical",NA,NA
2013,"AE_Cost",810570,"Historical",NA,NA
2013,"IP_Total",37038568.1701903,"Historical",NA,NA
2013,"OP_Total",8637700,"Historical",NA,NA
2014,"AE_Cost",729390,"Historical",NA,NA
2014,"IP_Total",56714414.9596501,"Historical",NA,NA
2014,"OP_Total",9888435,"Historical",NA,NA
2015,"AE_Cost",808110,"Historical",NA,NA
2015,"IP_Total",34655218.9108353,"Historical",NA,NA
2015,"OP_Total",10200280,"Historical",NA,NA
2016,"AE_Cost",886830,"Historical",NA,NA
2016,"IP_Total",42418178.1770293,"Historical",NA,NA
2016,"OP_Total",10712480,"Historical",NA,NA
2017,"AE_Cost",1041810,"Historical",NA,NA
2017,"IP_Total",45884122.297646,"Historical",NA,NA
2017,"OP_Total",12250455,"Historical",NA,NA
2018,"AE_Cost",993840,"Historical",NA,NA
2018,"IP_Total",50871630.6474382,"Historical",NA,NA
2018,"OP_Total",13206470,"Historical",NA,NA
2019,"AE_Cost",1071330,"Historical",NA,NA
2019,"IP_Total",58286639.2594203,"Historical",NA,NA
2019,"OP_Total",13923340,"Historical",NA,NA
2020,"AE_Cost",888060,"Historical",NA,NA
2020,"IP_Total",49458254.5562289,"Historical",NA,NA
2020,"OP_Total",12639170,"Historical",NA,NA
2021,"AE_Cost",1158660,"Historical",NA,NA
2021,"IP_Total",54579598.9901939,"Historical",NA,NA
2021,"OP_Total",15186545,"Historical",NA,NA
2022,"AE_Cost",912660,"Historical",NA,NA
2022,"IP_Total",49599082.5476878,"Historical",NA,NA
2022,"OP_Total",14839575,"Historical",NA,NA
2023,"AE_Cost",1281781.0729403,"Forecast",1120528.8129659,1443033.33291469
2024,"AE_Cost",1129819.78670623,"Forecast",965969.934241382,1293669.63917107
2025,"AE_Cost",1328543.83886721,"Forecast",1114689.71229644,1542397.96543797
2026,"AE_Cost",1239781.11582806,"Forecast",1020476.42678796,1459085.80486817
