"time","survival","n_risk","n_event","lower_CI","upper_CI"
0.347707049965777,0.989395170389139,1171,0,0.983676767566531,0.995146815971888
0.355920602327173,0.988548810106513,1169,1,0.982601600307079,0.994532015475655
0.358658453114305,0.987702449823888,1168,1,0.981535367372129,0.993908280656225
0.366872005475702,0.987702449823888,1166,0,0.981535367372129,0.993908280656225
0.386036960985626,0.986854636562236,1165,1,0.980474964813347,0.993275819020816
0.394250513347023,0.986854636562236,1164,0,0.980474964813347,0.993275819020816
0.405201916495551,0.986854636562236,1163,0,0.980474964813347,0.993275819020816
0.410677618069815,0.986854636562236,1161,0,0.980474964813347,0.993275819020816
0.432580424366872,0.986854636562236,1160,0,0.980474964813347,0.993275819020816
0.449007529089665,0.986854636562236,1159,0,0.980474964813347,0.993275819020816
0.459958932238193,0.986854636562236,1157,0,0.980474964813347,0.993275819020816
0.462696783025325,0.986000956080781,1156,1,0.979413132787345,0.992633091028097
0.465434633812457,0.986000956080781,1155,0,0.979413132787345,0.992633091028097
0.468172484599589,0.986000956080781,1154,0,0.979413132787345,0.992633091028097
0.470910335386721,0.986000956080781,1152,0,0.979413132787345,0.992633091028097
0.473648186173854,0.986000956080781,1150,0,0.979413132787345,0.992633091028097
0.48186173853525,0.986000956080781,1147,0,0.979413132787345,0.992633091028097
0.487337440109514,0.986000956080781,1146,0,0.979413132787345,0.992633091028097
0.490075290896646,0.986000956080781,1145,0,0.979413132787345,0.992633091028097
0.503764544832307,0.986000956080781,1144,0,0.979413132787345,0.992633091028097
0.506502395619439,0.986000956080781,1143,0,0.979413132787345,0.992633091028097
0.509240246406571,0.986000956080781,1142,0,0.979413132787345,0.992633091028097
0.511978097193703,0.986000956080781,1141,0,0.979413132787345,0.992633091028097
0.539356605065024,0.986000956080781,1140,0,0.979413132787345,0.992633091028097
0.542094455852156,0.986000956080781,1139,0,0.979413132787345,0.992633091028097
0.544832306639288,0.986000956080781,1137,0,0.979413132787345,0.992633091028097
0.550308008213552,0.986000956080781,1135,0,0.979413132787345,0.992633091028097
0.558521560574949,0.986000956080781,1134,0,0.979413132787345,0.992633091028097
0.566735112936345,0.986000956080781,1133,0,0.979413132787345,0.992633091028097
0.580424366872005,0.986000956080781,1132,0,0.979413132787345,0.992633091028097
0.588637919233402,0.986000956080781,1131,0,0.979413132787345,0.992633091028097
0.596851471594798,0.986000956080781,1130,0,0.979413132787345,0.992633091028097
0.59958932238193,0.986000956080781,1128,0,0.979413132787345,0.992633091028097
0.605065023956194,0.986000956080781,1127,0,0.979413132787345,0.992633091028097
0.613278576317591,0.986000956080781,1126,0,0.979413132787345,0.992633091028097
0.616016427104723,0.986000956080781,1125,0,0.979413132787345,0.992633091028097
0.621492128678987,0.986000956080781,1124,0,0.979413132787345,0.992633091028097
0.632443531827515,0.986000956080781,1122,0,0.979413132787345,0.992633091028097
0.635181382614648,0.986000956080781,1121,0,0.979413132787345,0.992633091028097
0.63791923340178,0.986000956080781,1120,0,0.979413132787345,0.992633091028097
0.654346338124572,0.986000956080781,1119,0,0.979413132787345,0.992633091028097
0.657084188911704,0.986000956080781,1117,0,0.979413132787345,0.992633091028097
0.670773442847365,0.986000956080781,1116,0,0.979413132787345,0.992633091028097
0.676249144421629,0.986000956080781,1115,0,0.979413132787345,0.992633091028097
0.678986995208761,0.986000956080781,1114,0,0.979413132787345,0.992633091028097
0.684462696783025,0.986000956080781,1113,0,0.979413132787345,0.992633091028097
0.700889801505818,0.986000956080781,1111,0,0.979413132787345,0.992633091028097
0.720054757015743,0.986000956080781,1110,0,0.979413132787345,0.992633091028097
0.725530458590007,0.985111063521142,1108,1,0.978304483804294,0.991965000199149
0.736481861738535,0.984221170961502,1107,1,0.977203104648278,0.991289639544778
0.739219712525667,0.984221170961502,1105,0,0.977203104648278,0.991289639544778
0.741957563312799,0.984221170961502,1104,0,0.977203104648278,0.991289639544778
0.744695414099932,0.983328858023187,1103,1,0.976104818019371,0.990606362319989
0.750171115674196,0.983328858023187,1102,0,0.976104818019371,0.990606362319989
0.75564681724846,0.98243573462807,1101,1,0.975011498752229,0.989916502430366
0.758384668035592,0.98243573462807,1099,0,0.975011498752229,0.989916502430366
0.788501026694045,0.98243573462807,1098,0,0.975011498752229,0.989916502430366
0.832306639288159,0.98243573462807,1097,0,0.975011498752229,0.989916502430366
0.837782340862423,0.981538533043935,1095,1,0.973917990975948,0.989218702988137
0.851471594798084,0.980640510598332,1093,1,0.972828654284996,0.988515096456888
0.867898699520876,0.980640510598332,1091,0,0.972828654284996,0.988515096456888
