"Year","Cost_Type","Cost","Type","lower_PI","upper_PI"
2021,"AE_Cost",2514120,"Historical",NA,NA
2021,"IP_Total",97734798.6337465,"Historical",NA,NA
2021,"OP_Total",35310875,"Historical",NA,NA
2022,"AE_Cost",2292720,"Historical",NA,NA
2022,"IP_Total",97012978.7431438,"Historical",NA,NA
2022,"OP_Total",36757815,"Historical",NA,NA
2023,"AE_Cost",2586333.14354328,"Forecast",2225169.2545662,2947497.03252037
2024,"AE_Cost",2562892.14746142,"Forecast",2175966.87552867,2949817.41939417
2025,"AE_Cost",2734637.09704658,"Forecast",2259534.64894455,3209739.54514861
2026,"AE_Cost",2786221.01220723,"Forecast",2274000.36999077,3298441.6544237
2027,"AE_Cost",2911778.87126341,"Forecast",2344707.00637572,3478850.73615111
2028,"AE_Cost",2991796.63987624,"Forecast",2386610.59799714,3596982.68175535
2029,"AE_Cost",3099849.95355231,"Forecast",2452063.07853946,3747636.82856516
2030,"AE_Cost",3190643.92981071,"Forecast",2506860.82149892,3874427.0381225
2031,"AE_Cost",3292063.15795649,"Forecast",2571779.20169789,4012347.11421509
2032,"AE_Cost",3386941.23246826,"Forecast",2633281.65616312,4140600.80877339
2023,"IP_Total",101340983.785399,"Forecast",88759278.4196822,113922689.151116
2024,"IP_Total",105668988.827654,"Forecast",87875770.4616752,123462207.193634
2025,"IP_Total",109996993.86991,"Forecast",88204840.930626,131789146.809193
2026,"IP_Total",114324998.912165,"Forecast",89161588.1807311,139488409.643599
2027,"IP_Total",118653003.95442,"Forecast",90519455.4838033,146786552.425037
2028,"IP_Total",122981008.996675,"Forecast",92162250.7566318,153799767.236719
2029,"IP_Total",127309014.038931,"Forecast",94020950.5721568,160597077.505705
2030,"IP_Total",131637019.081186,"Forecast",96050582.3492276,167223455.813144
2031,"IP_Total",135965024.123441,"Forecast",98219908.0262905,173710140.220592
2032,"IP_Total",140293029.165697,"Forecast",100506183.360869,180079874.970524
2023,"OP_Total",38303094.2105263,"Forecast",36144684.9534398,40461503.4676129
2024,"OP_Total",39848373.4210526,"Forecast",36795921.7765292,42900825.0655761
2025,"OP_Total",41393652.631579,"Forecast",37655178.134778,45132127.1283799
2026,"OP_Total",42938931.8421053,"Forecast",38622113.3279322,47255750.3562784
2027,"OP_Total",44484211.0526316,"Forecast",39657861.2305212,49310560.8747419
2028,"OP_Total",46029490.2631579,"Forecast",40742488.9271961,51316491.5991197
2029,"OP_Total",47574769.4736842,"Forecast",41864155.3519335,53285383.5954349
2030,"OP_Total",49120048.6842105,"Forecast",43015145.3951636,55224951.9732574
2031,"OP_Total",50665327.8947368,"Forecast",44190100.1234772,57140555.6659965
2032,"OP_Total",52210607.1052632,"Forecast",45385117.7300777,59036096.4804486
