"time","survival","n_risk","n_event","lower_CI","upper_CI","Sex"
0.177960301163587,0.993508080135168,59376,3,0.992868514261461,0.994148057991428,"sex.=F"
0.180698151950719,0.993407637854369,59348,6,0.992763111609375,0.994052582541665,"sex.=F"
0.183436002737851,0.993307146464166,59313,6,0.992657693942046,0.993957023894672,"sex.=F"
0.186173853524983,0.993189857067296,59282,7,0.992534700517619,0.99384544607551,"sex.=F"
0.188911704312115,0.993122797220764,59242,4,0.992464400416996,0.993781630802265,"sex.=F"
0.191649555099247,0.993106031976116,59237,1,0.992446827641124,0.993765674168677,"sex.=F"
0.194387405886379,0.993089265033148,59230,1,0.992429254018935,0.993749714984985,"sex.=F"
0.197125256673511,0.9930053991672,59207,5,0.992341366881853,0.993669875794475,"sex.=F"
0.199863107460643,0.992988616922834,59170,1,0.992323782514293,0.993653896755337,"sex.=F"
0.202600958247775,0.992887892815016,59151,6,0.99221826350758,0.993557974042585,"sex.=F"
0.205338809034908,0.992854300505485,59114,2,0.992183079055967,0.993525976042804,"sex.=F"
0.20807665982204,0.992787085185149,59085,4,0.992112688149093,0.993461940648325,"sex.=F"
0.210814510609172,0.992719868727114,59080,4,0.992042311325808,0.993397888895004,"sex.=F"
0.213552361396304,0.992669452969967,59072,3,0.99198953490482,0.993349837056738,"sex.=F"
0.216290212183436,0.99263582310792,59035,2,0.991954334129236,0.993317780280766,"sex.=F"
0.219028062970568,0.992551714258159,59009,5,0.991866311033927,0.993237591112329,"sex.=F"
0.2217659137577,0.992484379248203,58962,4,0.991795856681887,0.993173379799299,"sex.=F"
0.224503764544832,0.992400163348394,58925,5,0.991707757616297,0.993093052514944,"sex.=F"
0.227241615331964,0.992383313590964,58897,1,0.991690133309453,0.993076978397718,"sex.=F"
0.229979466119097,0.992248513242739,58895,8,0.991549168215855,0.992948351521478,"sex.=F"
0.232717316906229,0.992147400962177,58880,6,0.991443467843439,0.992851833879292,"sex.=F"
0.235455167693361,0.992063106365664,58850,5,0.991355370180238,0.992771347809369,"sex.=F"
0.238193018480493,0.992012502089074,58813,3,0.991302491674715,0.992723021041233,"sex.=F"
0.240930869267625,0.991961871123826,58779,3,0.991249591575903,0.992674662492545,"sex.=F"
0.243668720054757,0.991894359724298,58773,4,0.991179065926378,0.992610169720789,"sex.=F"
0.246406570841889,0.991843698589423,58737,3,0.991126150222298,0.992561766442042,"sex.=F"
0.249144421629021,0.991809921624087,58729,2,0.991090874013998,0.992529490911329,"sex.=F"
0.251882272416153,0.991725474896887,58724,5,0.991002692863975,0.992448784086658,"sex.=F"
0.254620123203285,0.991708572022008,58672,1,0.990985044294304,0.992432628004276,"sex.=F"
0.257357973990418,0.991708572022008,58635,0,0.990985044294304,0.992432628004276,"sex.=F"
0.26009582477755,0.991691648089928,58598,1,0.990967373590134,0.992416451944739,"sex.=F"
0.262833675564682,0.991607003872781,58580,5,0.990879005226439,0.992335537379612,"sex.=F"
