"time","survival","n_risk","n_event","lower_CI","upper_CI"
0,1.00000,85103,197,0.997362336212314,0.998008084247251
0.0027378507871321,0.997614652691366,84903,6,0.99728696376366,0.997942449291225
0.0054757015742642,0.997532362590157,84862,7,0.997199081451923,0.997865755116697
0.0082135523613963,0.997379473252701,84819,13,0.99703604206473,0.997723022736276
0.0109514031485284,0.997226542439303,84783,13,0.996873250542019,0.997579959543242
0.0136892539356605,0.997097133336988,84766,11,0.996735709461902,0.997458688267094
0.0164271047227926,0.996979485922344,84753,10,0.996610826489679,0.997348281726974
0.0191649555099247,0.996850069184733,84740,11,0.996473612686665,0.997226667903822
0.0219028062970568,0.996697109494223,84722,13,0.996311642733071,0.997082725390061
0.0246406570841889,0.996567631623227,84676,11,0.996174698553421,0.996960719682311
0.027378507871321,0.996461666396926,84642,9,0.996062726675246,0.996860765900612
0.0301163586584531,0.996343884114427,84602,10,0.995938371412684,0.996749561927341
0.0328542094455852,0.996190703768701,84557,13,0.995776797677593,0.996604781904642
0.0355920602327173,0.996061035949399,84509,11,0.995640154781941,0.996482095033502
0.0383299110198494,0.995872417051085,84493,16,0.995441593971858,0.996303426588792
0.0410677618069815,0.995719151496194,84470,13,0.995280417972943,0.996158078419316
0.0438056125941136,0.995589413028401,84423,11,0.995144092444503,0.996034932890398
0.0465434633812457,0.995424216975323,84374,14,0.994970646326284,0.995877994390598
0.0492813141683778,0.995270740590999,84316,13,0.994809635983661,0.995732058925116
0.0520191649555099,0.995152624389083,84262,10,0.994685803223863,0.99561966464057
0.054757015742642,0.995081721847357,84213,6,0.99461150162465,0.995552164375012
0.0574948665297741,0.994928092375913,84203,13,0.994450591534943,0.995405822496301
0.0602327173169062,0.994821718349072,84178,9,0.994339241363061,0.995304429444362
0.0629705681040383,0.9946916562016,84137,11,0.994203163004154,0.99518038941599
0.0657084188911704,0.994514237567844,84097,15,0.994017654915383,0.995011068298726
0.0684462696783025,0.994395907815379,84046,10,0.99389400170079,0.994898067387326
0.0711841204654346,0.994289351442874,83989,9,0.993782697830635,0.994796263358948
0.0739219712525667,0.994147217042763,83945,12,0.993634298183143,0.994660400673594
0.0766598220396988,0.993981391600278,83932,14,0.993461260794561,0.994501794722658
0.0793976728268309,0.993862925091935,83904,10,0.993337703327791,0.994388424564155
0.082135523613963,0.993744390764109,83846,10,0.993214122378577,0.994274942255323
0.0848733744010951,0.993637661492326,83798,9,0.993102888830055,0.994172722122544
0.0876112251882272,0.99348343256476,83754,13,0.992942216263754,0.994024943862876
0.0903490759753593,0.993388481636374,83705,8,0.992843335505927,0.993933927093304
0.0930869267624914,0.993234145810126,83675,13,0.992682671741118,0.99378592624456
0.0958247775496235,0.993103547713066,83658,11,0.992546776468286,0.99366063127987
0.0985626283367557,0.992961065138071,83640,12,0.992398572712547,0.99352387638482
0.101300479123888,0.99286602447715,83582,8,0.992299746799759,0.993432625313354
0.10403832991102,0.992818486513492,83543,4,0.992250324541859,0.993386973814346
0.106776180698152,0.992723363901068,83498,8,0.992151448825177,0.993295608651279
0.109514031485284,0.992616317626326,83464,9,0.992040207793717,0.993192762024547
0.112251882272416,0.99248544565435,83431,11,0.991904248334891,0.993066983521121
0.114989733059548,0.992342669384236,83416,12,0.991755973427505,0.992929712414395
0.11772758384668,0.99231887162723,83398,2,0.991731264259988,0.992906827155744
0.120465434633812,0.992259352255364,83361,5,0.991669470800769,0.992849584593132
0.123203285420945,0.99216408125744,83321,8,0.991570576914774,0.992757940841995
0.125941136208077,0.992068759917565,83269,8,0.991471651559056,0.992666227881304
0.128678986995209,0.992021067743447,83206,4,0.99142216339039,0.992620333886302
0.131416837782341,0.991961433890668,83176,5,0.991360290933115,0.992562941370443
0.134154688569473,0.991842160448811,83167,10,0.991236565506594,0.992448125378625
0.136892539356605,0.991687095650781,83152,13,0.991075762542055,0.992298805852948
0.139630390143737,0.991543907245821,83109,12,0.990927322589312,0.992160875559769
0.142368240930869,0.991424541917747,83068,10,0.990803613040082,0.992045859926685
0.145106091718001,0.991352888213111,83018,6,0.990729365333299,0.991976803511674
0.147843942505133,0.991245361024599,82976,9,0.990617964596085,0.991873154807384
0.150581793292266,0.99117364684368,82933,6,0.990543679641115,0.991804014693571
0.153319644079398,0.991042164503253,82923,11,0.990407511797988,0.991677223893697
0.15605749486653,0.990910666302853,82902,11,0.990271362581099,0.991550382749103
0.158795345653662,0.990803021024793,82848,9,0.990159933939606,0.991446525780888
0.161533196440794,0.990743187756618,82797,5,0.990098006616179,0.991388789318774
0.164271047227926,0.990671371353605,82773,6,0.99002368546991,0.99131948096151
0.167008898015058,0.990563588147902,82722,9,0.989912159812542,0.991215445166628
0.16974674880219,0.990395866578625,82684,14,0.98973865659437,0.991053512965926
0.172484599589322,0.990323983297516,82667,6,0.989664311411752,0.990984094895
0.175222450376454,0.990264075490072,82654,5,0.98960235894891,0.990926234500653
0.177960301163587,0.990156191834392,82611,9,0.989490807993125,0.990822023113525
0.180698151950719,0.990012289470284,82569,12,0.98934204447661,0.990682988531744
0.183436002737851,0.989856314002325,82514,13,0.989180838391033,0.990532250871341
0.186173853524983,0.989700274227846,82467,13,0.989019605574901,0.990381411334411
0.188911704312115,0.98961621101064,82413,7,0.988932760356344,0.990300133997146
0.191649555099247,0.989544155950072,82405,6,0.98885833003456,0.990230457522382
0.194387405886379,0.989460081509411,82389,7,0.988771494585923,0.990149147969327
0.197125256673511,0.989375974398657,82350,7,0.988684635821534,0.990067796394871
0.199863107460643,0.989303845799413,82301,6,0.988610155313095,0.989998023036234
0.202600958247775,0.989207641601297,82267,8,0.988510825989493,0.989904948408527
0.205338809034908,0.989099359224056,82219,9,0.98839904182984,0.989800172819129
0.20807665982204,0.989027137589492,82172,6,0.988324493637705,0.989730281082196
0.210814510609172,0.988966949963973,82162,5,0.988262373160486,0.98967202909203
0.213552361396304,0.988882680108224,82150,7,0.988175406129918,0.989590460308884
0.216290212183436,0.988810410091773,82099,6,0.988100830293336,0.989520499457123
0.219028062970568,0.988714007794824,82057,8,0.988001363003177,0.989427166616732
0.2217659137577,0.988629604350214,81999,7,0.987914285678989,0.989345440961921
0.224503764544832,0.988533090300465,81947,8,0.987814725155477,0.989251977859695
0.227241615331964,0.988496884275841,81909,3,0.987777379343684,0.989216913301137
0.229979466119097,0.988364125610488,81904,11,0.987640457347598,0.989088324122773
0.232717316906229,0.988267565600171,81886,8,0.987540884644962,0.988994781282821
0.235455167693361,0.988170960755049,81840,8,0.987441277339199,0.98890118338057
0.238193018480493,0.988110548767621,81786,5,0.987378993252619,0.988842646296859
0.240930869267625,0.988013841104418,81740,8,0.987279297621181,0.988748931093725
0.243668720054757,0.987965484906244,81728,4,0.987229452066557,0.988702066498138
0.246406570841889,0.987905007837837,81681,5,0.987167115764527,0.988643451474001
0.249144421629021,0.98786871804228,81668,3,0.987129712566361,0.988608276767775
0.251882272416153,0.987784036667969,81660,7,0.987042439760984,0.988526190760694
0.254620123203285,0.987747721078385,81600,3,0.98700501501055,0.988490986021094
0.257357973990418,0.98771138322214,81547,3,0.986967568357623,0.988455758652749
0.26009582477755,0.98767502440955,81497,3,0.986930101191061,0.988420509887312
0.262833675564682,0.987590159063203,81467,7,0.986842654675763,0.988338229663307
0.265571526351814,0.987493131980719,81428,8,0.986742686782475,0.988244147913362
0.268309377138946,0.987481003297479,81418,1,0.98673019133156,0.988232386563044
0.271047227926078,0.987335446584059,81410,12,0.98658024726181,0.988091223990065
0.27378507871321,0.987214110565946,81372,10,0.986455273158863,0.987973531713851
0.276522929500342,0.98715341719401,81328,5,0.986392766082437,0.987914654877315
0.279260780287474,0.987129129690973,81289,2,0.986367753758462,0.987891093328535
0.281998631074606,0.98705623758993,81254,6,0.986292689760755,0.98782037652689
0.284736481861739,0.986995476972042,81225,5,0.986230123155708,0.98776142473339
0.287474332648871,0.986922559741705,81215,6,0.98615504438394,0.98769067244958
0.290212183436003,0.986825325991977,81200,8,0.986054937881551,0.987596315993654
0.292950034223135,0.986728044315518,81152,8,0.985954791855108,0.987501903212829
0.295687885010267,0.986618552503482,81107,9,0.98584208801378,0.987395628548636
0.298425735797399,0.986557695953939,81061,5,0.985779451405947,0.987336554903636
0.301163586584531,0.986448105491539,81020,9,0.985666664756682,0.987230165755944
0.303901437371663,0.986411573984571,81008,3,0.985629070838534,0.987194698369563
0.306639288158795,0.986362862903277,81001,4,0.985578945433882,0.987147403891063
0.309377138945927,0.986301971044542,80993,5,0.985516289277749,0.987088279179306
0.31211498973306,0.986253240710004,80960,4,0.985466149527949,0.987040960541282
0.314852840520192,0.986204492310691,80926,4,0.985415993320029,0.98699362223353
0.317590691307324,0.986143527429794,80883,5,0.985353270692083,0.986934417956148
0.320328542094456,0.986094736220462,80846,4,0.985303075131372,0.986887033385187
0.323066392881588,0.986070332163337,80814,2,0.985277969393339,0.986863332153266
0.32580424366872,0.986021522841116,80810,4,0.985227758607649,0.986815926583218
0.328542094455852,0.985948301608697,80798,6,0.985152439655472,0.986744806504296
0.331279945242984,0.985862839814533,80757,7,0.985064535752995,0.986661790827973
0.334017796030116,0.985801764665553,80709,5,0.985001719281739,0.986602459868148
0.336755646817248,0.985716204327896,80652,7,0.984913724639459,0.986519337853958
0.339493497604381,0.985618371346473,80604,8,0.984813116283788,0.986424284844455
0.342231348391513,0.985569428136058,80552,4,0.984762787647922,0.986376729360855
0.344969199178645,0.98553272027252,80547,3,0.984725042342154,0.986341060665615
0.347707049965777,0.98547153670181,80539,5,0.984662132616414,0.986281606127075
0.350444900752909,0.985361351547261,80494,9,0.984548847063666,0.986174526554759
0.353182751540041,0.985263389713357,80469,8,0.984448138713074,0.986079315847421
0.355920602327173,0.985263389713357,80420,0,0.984448138713074,0.986079315847421
